Region,Workload,Filename,TCP Connection Time,TLS Handshake Time,Total Connection Time,Time to First Byte,Download Time,Total Time,TLS Version
India,VIDEO,100mb,0:00:00.000034,0:00:00.000419,0:00:00.000751,0:00:00.000734,0:00:00.492935,0:00:00.493678,1.3
India,VIDEO,10mb,0:00:00.000031,0:00:00.000748,0:00:00.001022,0:00:00.000688,0:00:00.041146,0:00:00.041846,1.3
India,VIDEO,50mb,0:00:00.000032,0:00:00.000405,0:00:00.000680,0:00:00.000664,0:00:00.202488,0:00:00.203160,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000501,0:00:00.000807,0:00:00.000794,0:00:00.008173,0:00:00.008974,1.3
India,WEB,index.html,0:00:00.000020,0:00:00.000435,0:00:00.000730,0:00:00.000718,0:00:00.003839,0:00:00.004600,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000489,0:00:00.000791,0:00:00.000775,0:00:00.007303,0:00:00.008085,1.3
India,WEB,sample.csv,0:00:00.000032,0:00:00.000424,0:00:00.000971,0:00:00.000954,0:00:00.003677,0:00:00.004638,1.3
India,WEB,sample.json,0:00:00.000031,0:00:00.000424,0:00:00.000718,0:00:00.000704,0:00:00.004201,0:00:00.004912,1.3
India,WEB,sample.jpg,0:00:00.000030,0:00:00.000631,0:00:00.001353,0:00:00.001333,0:00:00.006560,0:00:00.007905,1.3
India,WEB,sample.jpg,0:00:00.000045,0:00:00.000466,0:00:00.000737,0:00:00.000721,0:00:00.008594,0:00:00.009328,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000494,0:00:00.001417,0:00:00.001400,0:00:00.005979,0:00:00.007403,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000490,0:00:00.000755,0:00:00.000743,0:00:00.004071,0:00:00.004820,1.3
India,WEB,sample.csv,0:00:00.000042,0:00:00.000454,0:00:00.000749,0:00:00.000731,0:00:00.004291,0:00:00.005032,1.3
India,WEB,sample.csv,0:00:00.000031,0:00:00.000415,0:00:00.000681,0:00:00.000665,0:00:00.003662,0:00:00.004791,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000602,0:00:00.001583,0:00:00.001567,0:00:00.006065,0:00:00.007641,1.3
India,WEB,sample.png,0:00:00.000033,0:00:00.000409,0:00:00.001022,0:00:00.001002,0:00:00.008237,0:00:00.009248,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.001027,0:00:00.001783,0:00:00.001775,0:00:00.004459,0:00:00.006241,1.3
India,WEB,sample.csv,0:00:00.000018,0:00:00.000823,0:00:00.001088,0:00:00.001075,0:00:00.004220,0:00:00.005305,1.3
India,WEB,sample.pdf,0:00:00.000030,0:00:00.000529,0:00:00.000966,0:00:00.000950,0:00:00.004793,0:00:00.005756,1.3
India,WEB,index.html,0:00:00.000032,0:00:00.000448,0:00:00.000793,0:00:00.000782,0:00:00.004645,0:00:00.005435,1.3
India,WEB,sample.csv,0:00:00.000031,0:00:00.000417,0:00:00.000755,0:00:00.000745,0:00:00.004426,0:00:00.005184,1.3
India,WEB,sample.pdf,0:00:00.000033,0:00:00.000421,0:00:00.000713,0:00:00.000686,0:00:00.003549,0:00:00.004244,1.3
India,WEB,index.html,0:00:00.000024,0:00:00.000519,0:00:00.000815,0:00:00.000806,0:00:00.008322,0:00:00.009140,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000693,0:00:00.001175,0:00:00.001161,0:00:00.006152,0:00:00.007948,1.3
India,WEB,sample.jpg,0:00:00.000035,0:00:00.000432,0:00:00.000733,0:00:00.000718,0:00:00.005358,0:00:00.006086,1.3
India,WEB,sample.png,0:00:00.000032,0:00:00.000528,0:00:00.000779,0:00:00.000765,0:00:00.006480,0:00:00.007267,1.3
India,WEB,index.html,0:00:00.000020,0:00:00.000383,0:00:00.000680,0:00:00.000668,0:00:00.006932,0:00:00.007608,1.3
India,WEB,sample.png,0:00:00.000020,0:00:00.001267,0:00:00.001643,0:00:00.000728,0:00:00.009488,0:00:00.010229,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000416,0:00:00.000678,0:00:00.000664,0:00:00.004309,0:00:00.004991,1.3
India,WEB,sample.pdf,0:00:00.000033,0:00:00.002740,0:00:00.003004,0:00:00.002991,0:00:00.009693,0:00:00.012698,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000417,0:00:00.000687,0:00:00.000675,0:00:00.004466,0:00:00.005148,1.3
India,WEB,sample.json,0:00:00.000031,0:00:00.000418,0:00:00.000697,0:00:00.000682,0:00:00.005267,0:00:00.005974,1.3
India,WEB,sample.jpg,0:00:00.000030,0:00:00.000480,0:00:00.000789,0:00:00.000776,0:00:00.007789,0:00:00.008572,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000442,0:00:00.000732,0:00:00.000716,0:00:00.006503,0:00:00.007239,1.3
India,WEB,sample.json,0:00:00.000032,0:00:00.000446,0:00:00.000728,0:00:00.000715,0:00:00.004628,0:00:00.005353,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.001109,0:00:00.001357,0:00:00.001348,0:00:00.004677,0:00:00.006130,1.3
India,WEB,sample.pdf,0:00:00.000030,0:00:00.000404,0:00:00.000673,0:00:00.000658,0:00:00.003094,0:00:00.003860,1.3
India,WEB,sample.png,0:00:00.000023,0:00:00.000434,0:00:00.000700,0:00:00.000687,0:00:00.011303,0:00:00.011999,1.3
India,WEB,index.html,0:00:00.000029,0:00:00.000855,0:00:00.001585,0:00:00.001568,0:00:00.003992,0:00:00.005570,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000472,0:00:00.000723,0:00:00.000706,0:00:00.004005,0:00:00.004722,1.3
India,WEB,sample.png,0:00:00.000029,0:00:00.000423,0:00:00.000687,0:00:00.000671,0:00:00.006783,0:00:00.007464,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000394,0:00:00.001092,0:00:00.001075,0:00:00.006382,0:00:00.007471,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000390,0:00:00.000646,0:00:00.000638,0:00:00.003226,0:00:00.003895,1.3
India,WEB,sample.jpg,0:00:00.000021,0:00:00.001870,0:00:00.002179,0:00:00.002169,0:00:00.011897,0:00:00.014076,1.3
India,WEB,sample.png,0:00:00.000029,0:00:00.000550,0:00:00.000828,0:00:00.000811,0:00:00.006839,0:00:00.007660,1.3
India,WEB,sample.jpg,0:00:00.000027,0:00:00.000421,0:00:00.000732,0:00:00.000718,0:00:00.008062,0:00:00.008789,1.3
India,WEB,sample.json,0:00:00.000026,0:00:00.000503,0:00:00.001537,0:00:00.001524,0:00:00.004002,0:00:00.005600,1.3
India,WEB,sample.json,0:00:00.000033,0:00:00.000420,0:00:00.000685,0:00:00.000667,0:00:00.004157,0:00:00.004834,1.3
India,WEB,index.html,0:00:00.000021,0:00:00.000890,0:00:00.001134,0:00:00.001119,0:00:00.005839,0:00:00.006970,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000429,0:00:00.000703,0:00:00.000686,0:00:00.005291,0:00:00.005997,1.3
India,WEB,sample.json,0:00:00.000030,0:00:00.000455,0:00:00.000757,0:00:00.000741,0:00:00.003881,0:00:00.004627,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000437,0:00:00.000722,0:00:00.000707,0:00:00.007064,0:00:00.007777,1.3
India,WEB,sample.json,0:00:00.000027,0:00:00.000907,0:00:00.001438,0:00:00.001422,0:00:00.007944,0:00:00.009375,1.3
India,WEB,sample.jpg,0:00:00.000032,0:00:00.002087,0:00:00.002394,0:00:00.002380,0:00:00.006915,0:00:00.009326,1.3
India,WEB,sample.pdf,0:00:00.000032,0:00:00.000915,0:00:00.001171,0:00:00.001157,0:00:00.005757,0:00:00.006921,1.3
India,WEB,sample.jpg,0:00:00.000027,0:00:00.000424,0:00:00.000747,0:00:00.000731,0:00:00.014455,0:00:00.015210,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000614,0:00:00.000888,0:00:00.000873,0:00:00.004649,0:00:00.005926,1.3
India,WEB,sample.json,0:00:00.000030,0:00:00.000426,0:00:00.000703,0:00:00.000686,0:00:00.006978,0:00:00.007902,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000430,0:00:00.000704,0:00:00.000687,0:00:00.004317,0:00:00.005012,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000535,0:00:00.000840,0:00:00.000828,0:00:00.003815,0:00:00.004653,1.3
India,WEB,index.html,0:00:00.000542,0:00:00.000433,0:00:00.001234,0:00:00.001218,0:00:00.004573,0:00:00.005798,1.3
India,WEB,sample.csv,0:00:00.000033,0:00:00.000526,0:00:00.001876,0:00:00.001869,0:00:00.008578,0:00:00.010614,1.3
India,WEB,sample.json,0:00:00.000030,0:00:00.000834,0:00:00.001489,0:00:00.001469,0:00:00.004464,0:00:00.005943,1.3
India,WEB,index.html,0:00:00.000033,0:00:00.000417,0:00:00.000680,0:00:00.000667,0:00:00.004072,0:00:00.004744,1.3
India,WEB,sample.pdf,0:00:00.000021,0:00:00.001349,0:00:00.001597,0:00:00.001583,0:00:00.005252,0:00:00.006840,1.3
India,WEB,sample.png,0:00:00.000022,0:00:00.000596,0:00:00.001421,0:00:00.001400,0:00:00.010470,0:00:00.011879,1.3
India,WEB,sample.pdf,0:00:00.000032,0:00:00.000945,0:00:00.001403,0:00:00.001396,0:00:00.005037,0:00:00.006444,1.3
India,WEB,sample.json,0:00:00.000031,0:00:00.000413,0:00:00.000680,0:00:00.000662,0:00:00.006413,0:00:00.007085,1.3
India,WEB,sample.csv,0:00:00.000029,0:00:00.000433,0:00:00.000681,0:00:00.000669,0:00:00.004767,0:00:00.005455,1.3
India,WEB,sample.pdf,0:00:00.000029,0:00:00.000512,0:00:00.000778,0:00:00.000765,0:00:00.004191,0:00:00.004964,1.3
India,WEB,sample.json,0:00:00.000031,0:00:00.000647,0:00:00.000939,0:00:00.000924,0:00:00.006019,0:00:00.006948,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000434,0:00:00.000735,0:00:00.000716,0:00:00.006774,0:00:00.007501,1.3
India,WEB,sample.jpg,0:00:00.000030,0:00:00.000454,0:00:00.000780,0:00:00.000767,0:00:00.008942,0:00:00.010214,1.3
India,WEB,sample.json,0:00:00.000032,0:00:00.000457,0:00:00.000708,0:00:00.000690,0:00:00.005716,0:00:00.006417,1.3
India,WEB,sample.json,0:00:00.000020,0:00:00.000424,0:00:00.000689,0:00:00.000665,0:00:00.005722,0:00:00.006396,1.3
India,WEB,sample.jpg,0:00:00.000035,0:00:00.000485,0:00:00.001532,0:00:00.001514,0:00:00.007729,0:00:00.009250,1.3
India,WEB,index.html,0:00:00.000016,0:00:00.000600,0:00:00.000882,0:00:00.000871,0:00:00.022937,0:00:00.023821,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000412,0:00:00.000677,0:00:00.000662,0:00:00.004571,0:00:00.005252,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000406,0:00:00.000679,0:00:00.000665,0:00:00.006180,0:00:00.006932,1.3
India,WEB,sample.csv,0:00:00.000028,0:00:00.000767,0:00:00.001019,0:00:00.000991,0:00:00.004621,0:00:00.005622,1.3
India,WEB,sample.csv,0:00:00.000023,0:00:00.000424,0:00:00.000729,0:00:00.000712,0:00:00.003543,0:00:00.004267,1.3
India,WEB,sample.png,0:00:00.000029,0:00:00.000548,0:00:00.000818,0:00:00.000802,0:00:00.005569,0:00:00.006381,1.3
India,WEB,sample.csv,0:00:00.000020,0:00:00.001129,0:00:00.001413,0:00:00.001390,0:00:00.004462,0:00:00.005866,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000482,0:00:00.000772,0:00:00.000758,0:00:00.007713,0:00:00.008478,1.3
India,WEB,sample.csv,0:00:00.000020,0:00:00.000882,0:00:00.001174,0:00:00.001160,0:00:00.005872,0:00:00.007135,1.3
India,WEB,index.html,0:00:00.000029,0:00:00.001867,0:00:00.002118,0:00:00.002109,0:00:00.006992,0:00:00.009109,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000409,0:00:00.000671,0:00:00.000656,0:00:00.006272,0:00:00.006936,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000549,0:00:00.001280,0:00:00.001266,0:00:00.014351,0:00:00.015630,1.3
India,WEB,sample.json,0:00:00.000047,0:00:00.000439,0:00:00.000748,0:00:00.000732,0:00:00.004089,0:00:00.004831,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000513,0:00:00.000777,0:00:00.000761,0:00:00.003722,0:00:00.004488,1.3
India,WEB,sample.jpg,0:00:00.000024,0:00:00.001337,0:00:00.001587,0:00:00.001577,0:00:00.007164,0:00:00.008857,1.3
India,WEB,sample.csv,0:00:00.000046,0:00:00.000454,0:00:00.000735,0:00:00.000718,0:00:00.004536,0:00:00.005273,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000761,0:00:00.001011,0:00:00.001000,0:00:00.007003,0:00:00.008011,1.3
India,WEB,sample.csv,0:00:00.000020,0:00:00.000745,0:00:00.001044,0:00:00.001027,0:00:00.005764,0:00:00.006855,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000417,0:00:00.000714,0:00:00.000697,0:00:00.003845,0:00:00.004551,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000594,0:00:00.000836,0:00:00.000824,0:00:00.006259,0:00:00.007094,1.3
India,WEB,sample.pdf,0:00:00.000029,0:00:00.000753,0:00:00.001024,0:00:00.001010,0:00:00.003202,0:00:00.004230,1.3
India,WEB,sample.csv,0:00:00.000029,0:00:00.000450,0:00:00.000750,0:00:00.000732,0:00:00.003277,0:00:00.004020,1.3
Germany,WEB,sample.png,0:00:00.000028,0:00:00.000494,0:00:00.000768,0:00:00.000760,0:00:00.076099,0:00:00.076885,1.3
India,WEB,sample.jpg,0:00:00.000030,0:00:00.000411,0:00:00.000704,0:00:00.000690,0:00:00.006951,0:00:00.007651,1.3
India,WEB,sample.json,0:00:00.000031,0:00:00.000498,0:00:00.000753,0:00:00.000737,0:00:00.005341,0:00:00.006084,1.3
India,WEB,sample.pdf,0:00:00.000019,0:00:00.001611,0:00:00.001866,0:00:00.001856,0:00:00.007964,0:00:00.009950,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000439,0:00:00.000730,0:00:00.000714,0:00:00.005074,0:00:00.005800,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000429,0:00:00.000852,0:00:00.000839,0:00:00.005582,0:00:00.006547,1.3
India,WEB,sample.csv,0:00:00.000029,0:00:00.000451,0:00:00.001129,0:00:00.001116,0:00:00.003882,0:00:00.005010,1.3
India,WEB,sample.pdf,0:00:00.000030,0:00:00.000496,0:00:00.000787,0:00:00.000770,0:00:00.004023,0:00:00.004800,1.3
India,WEB,sample.pdf,0:00:00.000028,0:00:00.000518,0:00:00.000801,0:00:00.000789,0:00:00.005766,0:00:00.006562,1.3
India,WEB,sample.pdf,0:00:00.000028,0:00:00.000471,0:00:00.004918,0:00:00.004914,0:00:00.008537,0:00:00.013896,1.3
India,WEB,sample.jpg,0:00:00.000032,0:00:00.000633,0:00:00.000913,0:00:00.000899,0:00:00.006682,0:00:00.007589,1.3
India,WEB,sample.jpg,0:00:00.000027,0:00:00.000476,0:00:00.000733,0:00:00.000718,0:00:00.005566,0:00:00.006295,1.3
India,WEB,sample.json,0:00:00.000032,0:00:00.000421,0:00:00.000703,0:00:00.000688,0:00:00.005783,0:00:00.006479,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000413,0:00:00.000666,0:00:00.000649,0:00:00.003633,0:00:00.004308,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000427,0:00:00.000703,0:00:00.000685,0:00:00.007737,0:00:00.008428,1.3
India,WEB,sample.jpg,0:00:00.000033,0:00:00.000805,0:00:00.001064,0:00:00.001048,0:00:00.007231,0:00:00.008298,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000846,0:00:00.001538,0:00:00.001522,0:00:00.006182,0:00:00.007724,1.3
India,WEB,sample.jpg,0:00:00.000034,0:00:00.000521,0:00:00.000814,0:00:00.000800,0:00:00.006642,0:00:00.007453,1.3
India,WEB,sample.json,0:00:00.000030,0:00:00.000513,0:00:00.000798,0:00:00.000781,0:00:00.004226,0:00:00.005318,1.3
India,WEB,sample.png,0:00:00.000020,0:00:00.001404,0:00:00.005396,0:00:00.004989,0:00:00.013096,0:00:00.018268,1.3
India,WEB,sample.json,0:00:00.000299,0:00:00.000410,0:00:00.000984,0:00:00.000967,0:00:00.008221,0:00:00.009349,1.3
India,WEB,index.html,0:00:00.000029,0:00:00.000456,0:00:00.000714,0:00:00.000699,0:00:00.004669,0:00:00.005374,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000413,0:00:00.000708,0:00:00.000696,0:00:00.003764,0:00:00.004479,1.3
India,WEB,sample.pdf,0:00:00.000031,0:00:00.000525,0:00:00.000779,0:00:00.000760,0:00:00.003080,0:00:00.003850,1.3
India,WEB,sample.json,0:00:00.000018,0:00:00.000527,0:00:00.001248,0:00:00.001231,0:00:00.004445,0:00:00.005682,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000408,0:00:00.000655,0:00:00.000643,0:00:00.007613,0:00:00.008265,1.3
India,WEB,sample.csv,0:00:00.000031,0:00:00.000446,0:00:00.000742,0:00:00.000728,0:00:00.006559,0:00:00.007319,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000418,0:00:00.000691,0:00:00.000677,0:00:00.007474,0:00:00.008158,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000425,0:00:00.000709,0:00:00.000695,0:00:00.004944,0:00:00.005651,1.3
India,WEB,sample.pdf,0:00:00.000020,0:00:00.000662,0:00:00.000912,0:00:00.000898,0:00:00.005238,0:00:00.006144,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000424,0:00:00.000703,0:00:00.000692,0:00:00.004433,0:00:00.005134,1.3
